VMName,Owner,Purpose
JAXF-DUO001,Security Team,Duo auth server
JAXF-KAV101,Security Team,KAS server
JAXF-NTRX001,Security Team,Netwrix
JAXF-NTRX101,Security Team,Netwrix
ORD-KAV001,Security team,KAS AV server
JAXF-CAS01,Corp Systems,Exchange server -CAS
JAXF-CAS02,Corp Systems,Exchange server -CAS
IAD-EXAR001,Corp Systems,Exchange infrastructure
IAD-EXCH001,Corp Systems,Exchange infrastructure
JAXF-MON001,Monitoring Engineer,PRTG monitoring server
JAXF-MON002,Monitoring Engineer,PRTG monitoring server
JAXF-MON004,Monitoring Engineer,PRTG monitoring server
JAXF-MON005,Monitoring Engineer,PRTG monitoring server
JAXF-MON006,Monitoring Engineer,PRTG monitoring server
DEV-ERP-WK001,SUFW_MRFW team,Developer workstation
STG-ERP-CLS010,SUFW_MRFW team,Test server - staging
STG-ERP-CLS110,SUFW_MRFW team,Test server - staging
STG-ERP-SHP001,SUFW_MRFW team,Test server - staging
STG-SL-APP015,SUFW_MRFW team,Test server - staging
STG-SL-EDI015,SUFW_MRFW team,Test server - staging
STG-SL-ENG015,SUFW_MRFW team,Test server - staging
STG-SL-FDX015,SUFW_MRFW team,Test server - staging
STG-SL-FSR015,SUFW_MRFW team,Test server - staging
STG-SL-PRA015,SUFW_MRFW team,Test server - staging
STG-SL-PRC015,SUFW_MRFW team,Test server - staging
STG-SL-RPT015,SUFW_MRFW team,Test server - staging
STG-SL-SHP001,SUFW_MRFW team,Test server - staging
STG-SL-SLT015,SUFW_MRFW team,Test server - staging
STG-SL-TS1015,SUFW_MRFW team,Test server - staging
STG-SL-TS2015,SUFW_MRFW team,Test server - staging
STG-SL-TSR015,SUFW_MRFW team,Test server - staging
STG-SL-WEB015,SUFW_MRFW team,Test server - staging
SUFW-ERP-TS001,SUFW_MRFW team,Terminal server
SUFW-JUMP001,SUFW_MRFW team,Jump server
SUFW-SL-APP004,SUFW_MRFW team,Mark said not in use
SUFW-SL-APP015,SUFW_MRFW team,SL Application Server
SUFW-SL-EDI015,SUFW_MRFW team,EDI Admin Server
SUFW-SL-ENG015,SUFW_MRFW team,Max Q Process Engine Server
SUFW-SL-FDX015,SUFW_MRFW team,FEDEX Server
SUFW-SL-FDX025,SUFW_MRFW team,FEDEX Server
SUFW-SL-FS001,SUFW_MRFW team,File server
SUFW-SL-FSR015,SUFW_MRFW team,EDI Session Server
SUFW-SL-PRA015,SUFW_MRFW team,PrintAssist Server
SUFW-SL-PRC015,SUFW_MRFW team,Process Manager Server
SUFW-SL-RPT015,SUFW_MRFW team,Report Runner Server
SUFW-SL-SHP001,SUFW_MRFW team,ConnectShip Sever
SUFW-SL-SHP015,SUFW_MRFW team,ConnectShip Sever
SUFW-SL-SLT015,SUFW_MRFW team,Slate Server
SUFW-SL-TS1015,SUFW_MRFW team,Terminal server
SUFW-SL-TS2015,SUFW_MRFW team,Terminal server
SUFW-SL-TSR015,SUFW_MRFW team,SL Task Server
SUFW-SL-WAP015,SUFW_MRFW team,SL WebApps
SUFW-SL-WEB001,SUFW_MRFW team,Web Server
SUFW-SL-WEB002,SUFW_MRFW team,Web Server
SUFW-SL-WEB015,SUFW_MRFW team,Slate Web Server
SUFW-TS101,SUFW_MRFW team,Terminal server
JAX-IUP001.FF.P10,Tools,ImageUploader
JAX-IUP002.FF.P10,Tools,ImageUploader
JAX-WEB001.FF.P10,Tools,PartnerPortal
IAD-PROD-IBMMQ001,OMS,IBMMQ
JAX-ASST102,OMTandCST,FanAssist Boxes
JAX-ASST101,OMTandCST,FanAssist Boxes
JAX-OSVC004,OMTandCST,
JAX-OSVC002,OMTandCST,
JAX-OSVC003,OMTandCST,
JAX-MW007,OMTandCST,
JAX-ACWB001.FF.P10,OMTandCST,acertify
JAX-ACWB002.FF.P10,OMTandCST,acertify
CHNQ-FS001,TeamEntCompute,File Server
CHNQ-PRNT001,TeamEntCompute,Print server
COPQ-BKUP001,TeamEntCompute,Backup server
COPQ-FS001,TeamEntCompute,File Server
COPQ-PRNT001,TeamEntCompute,Print server
COPQ-PRNT002,TeamEntCompute,Print server
NBIQ-DHCP001,TeamEntCompute,DHCP server
NBIQ-FS001,TeamEntCompute,File Server
NBIQ-MGMT001,TeamEntCompute,Mgmt server for infrastructure
NBIQ-PRNT001,TeamEntCompute,Print server
NBIQ-PRNT002,TeamEntCompute,Print server
FAKW-BKUP001,TeamEntCompute,Backup server
ntp-fs001,TeamEntCompute,File Server
FROW-BKUP001,TeamEntCompute,Backup server
FROW-FS001,TeamEntCompute,File Server
FROW-MGMT,TeamEntCompute,Mgmt server for infrastructure
FROW-PRNT001,TeamEntCompute,Print server
FROW-PRNT002,TeamEntCompute,Print server
FROW-PRNT003,TeamEntCompute,Print server
JXFD-FS001,TeamEntCompute,File Server
JXFD-PRNT001,TeamEntCompute,Print server
JXFQ-FS001,TeamEntCompute,File Server
JXFQ-PRNT001,TeamEntCompute,Print server
JXFQ-DC404,TeamEntCompute,Domain controller
JXFQ-AADC01,TeamEntCompute,Domain controller?
JXFQ-SAN001,TeamEntCompute,SAN mgmt server
JXFW-DHCP001,TeamEntCompute,DHCP server
JXFW-FS001,TeamEntCompute,File Server
JXFW-GAS001,TeamEntCompute,Goanywhere server
JXFW-PRNT001,TeamEntCompute,Print server
JXFW-PRT001,TeamEntCompute,Print server
wh-print01,TeamEntCompute,Print server
wh-print02,TeamEntCompute,Print server
wh-print04,TeamEntCompute,Print server
wh-print05,TeamEntCompute,Print server
wh-print06,TeamEntCompute,Print server
LVNW-DC001,TeamEntCompute,Domain controller
LVNW-DC002,TeamEntCompute,Domain controller
LVNW-DC003,TeamEntCompute,Domain controller
LVNW-DC004,TeamEntCompute,Domain controller
LVNW-DHCP001,TeamEntCompute,DHCP server
LVNW-FS001,TeamEntCompute,File Server
LVNW-GAS001,TeamEntCompute,Goanywhere server
LVNW-MGMT001,TeamEntCompute,Mgmt server for infrastructure
LVNW-PRNT001,TeamEntCompute,Print server
