VMName,Owner,Purpose
JAXF-DUO001.footballfanatics.wh,Security Team,Duo auth server
JAXF-KAV101.FANATICS.CORP,Security Team,KAS server
JAXF-NTRX001.FANATICS.CORP,Security Team,Netwrix
JAXF-NTRX101.FANATICS.CORP,Security Team,Netwrix
JAXF-OKTA001,Security Team,Okta
JAXF-OKTA002,Security Team,Okta
ORD-KAV002,Security team,KAS AV server
ORD-KAV001,Security team,KAS AV server
ORD-DUO001,Security team,Duo auth server
ORD-PMP01,Security team,Password Mgr Pro
JAXF-CAS01.footballfanatics.wh,Corp Systems,Exchange server -CAS
JAXF-CAS02.footballfanatics.wh,Corp Systems,Exchange server -CAS
JAXF-EXAR001,Corp Systems,Exchange server
JAXF-EXCH001,Corp Systems,Exchange server
JAXF-EXCH002,Corp Systems,Exchange server
JAXF-EXCH003,Corp Systems,Exchange server
JAXF-EXHB001,Corp Systems,Exchange server
JAXF-EXHB002,Corp Systems,Exchange server
IAD-CAS001,Corp Systems,Exchange infrastructure
IAD-EXAR001,Corp Systems,Exchange infrastructure
IAD-EXCH001,Corp Systems,Exchange infrastructure
IAD-EXHB001,Corp Systems,Exchange infrastructure
IAD-IVA001,Corp Systems,IVANTI Patch
IAD-IVA002,Corp Systems,IVANTI Patch Database
IAD-IVDB001,Corp Systems,IVANTI Patch Database
IAD-MTA001,Corp Systems,SMTP Relay Server
JAXF-MON001.FANATICS.CORP,Monitoring Engineer,PRTG monitoring server
JAXF-MON002.FANATICS.CORP,Monitoring Engineer,PRTG monitoring server
JAXF-MON004.FANATICS.CORP,Monitoring Engineer,PRTG monitoring server
JAXF-MON005.FANATICS.CORP,Monitoring Engineer,PRTG monitoring server
JAXF-MON006.FANATICS.CORP,Monitoring Engineer,PRTG monitoring server
ORDF-MON004.fanatics.corp,Monitoring team,PRTG monitoring server
ORD-MON002,Monitoring team,PRTG monitoring server
ORDF-MON006.fanatics.corp,Monitoring team,PRTG monitoring server
ORD-MON001,Monitoring team,PRTG monitoring server
ORD-MON003,Monitoring team,PRTG monitoring server
DEV-ERP-WK001.authentic.corp,SUFW_MRFW team,Developer workstation
STG-ERP-CLS010.authentic.corp,SUFW_MRFW team,Test server - staging
STG-ERP-CLS110.authentic.corp,SUFW_MRFW team,Test server - staging
STG-ERP-SHP001.authentic.corp,SUFW_MRFW team,Test server - staging
STG-SL-APP015.authentic.corp,SUFW_MRFW team,Test server - staging
STG-SL-EDI015.authentic.corp,SUFW_MRFW team,Test server - staging
STG-SL-ENG015.authentic.corp,SUFW_MRFW team,Test server - staging
STG-SL-FDX015.authentic.corp,SUFW_MRFW team,Test server - staging
STG-SL-FSR015.authentic.corp,SUFW_MRFW team,Test server - staging
STG-SL-PRA015.authentic.corp,SUFW_MRFW team,Test server - staging
STG-SL-PRC015.authentic.corp,SUFW_MRFW team,Test server - staging
STG-SL-RPT015.authentic.corp,SUFW_MRFW team,Test server - staging
STG-SL-SHP001.authentic.corp,SUFW_MRFW team,Test server - staging
STG-SL-SLT015.authentic.corp,SUFW_MRFW team,Test server - staging
STG-SL-TS1015.authentic.corp,SUFW_MRFW team,Test server - staging
STG-SL-TS2015.authentic.corp,SUFW_MRFW team,Test server - staging
STG-SL-TSR015.authentic.corp,SUFW_MRFW team,Test server - staging
STG-SL-WEB015.authentic.corp,SUFW_MRFW team,Test server - staging
SUFW-ERP-TS001.DREAMS.CORP,SUFW_MRFW team,Terminal server
SUFW-JUMP001.footballfanatics.wh,SUFW_MRFW team,Jump server
SUFW-SL-APP004.authentic.corp,SUFW_MRFW team,Mark said not in use
SUFW-SL-APP015.authentic.corp,SUFW_MRFW team,SL Application Server
SUFW-SL-EDI015.authentic.corp,SUFW_MRFW team,EDI Admin Server
SUFW-SL-ENG015.authentic.corp,SUFW_MRFW team,Max Q Process Engine Server
SUFW-SL-FDX015.authentic.corp,SUFW_MRFW team,FEDEX Server
SUFW-SL-FDX025.authentic.corp,SUFW_MRFW team,FEDEX Server
SUFW-SL-FS001.authentic.corp,SUFW_MRFW team,File server
SUFW-SL-FSR015.authentic.corp,SUFW_MRFW team,EDI Session Server
SUFW-SL-PRA015.authentic.corp,SUFW_MRFW team,PrintAssist Server
SUFW-SL-PRC015.authentic.corp,SUFW_MRFW team,Process Manager Server
SUFW-SL-RPT015.authentic.corp,SUFW_MRFW team,Report Runner Server
SUFW-SL-SHP001.authentic.corp,SUFW_MRFW team,ConnectShip Sever
SUFW-SL-SHP015.authentic.corp,SUFW_MRFW team,ConnectShip Sever
SUFW-SL-SLT015.authentic.corp,SUFW_MRFW team,Slate Server
SUFW-SL-TS1015.authentic.corp,SUFW_MRFW team,Terminal server
SUFW-SL-TS2015.authentic.corp,SUFW_MRFW team,Terminal server
SUFW-SL-TSR015.authentic.corp,SUFW_MRFW team,SL Task Server
SUFW-SL-WAP015.authentic.corp,SUFW_MRFW team,SL WebApps
SUFW-SL-WEB001.authentic.corp,SUFW_MRFW team,Web Server
SUFW-SL-WEB002.authentic.corp,SUFW_MRFW team,Web Server
SUFW-SL-WEB015.authentic.corp,SUFW_MRFW team,Slate Web Server
SUFW-TS101.authentic.corp,SUFW_MRFW team,Terminal server
ORD-INV002,Frontend,InventoryAPI
ORD-SXML002,Frontend,SEOXML
ORD-INV008,Frontend,InventoryAPI
ORD-INV006,Frontend,InventoryAPI
ORD-SXML004,Frontend,SEOXML
ORD-INV004,Frontend,InventoryAPI
ORD-INV003,Frontend,InventoryAPI
ORD-SXML003,Frontend,SEOXML
ORD-INV007,Frontend,InventoryAPI
ORD-SXML001,Frontend,SEOXML
ORD-INV001,Frontend,InventoryAPI
ORD-INV005,Frontend,InventoryAPI
JAX-SXML004,Frontend,SEOXML
JAX-SXML001,Frontend,SEOXML
JAX-SXML002,Frontend,SEOXML
JAX-INV006,Frontend,InventoryAPI
JAX-INV002,Frontend,InventoryAPI
JAX-INV008,Frontend,InventoryAPI
JAX-INV004,Frontend,InventoryAPI
JAX-SXML003,Frontend,SEOXML
JAX-INV003,Frontend,InventoryAPI
JAX-INV001,Frontend,InventoryAPI
JAX-INV005,Frontend,InventoryAPI
JAX-INV007,Frontend,InventoryAPI
ORD-PRMO002,Tools,PromoAPI
ORD-PRMO001,Tools,PromoAPI
ORD-PRMO003,Tools,PromoAPI
JAX-IUP001.FF.P10,Tools,ImageUploader
JAX-IUP002.FF.P10,Tools,ImageUploader
JAX-WEB001.FF.P10,Tools,PartnerPortal
SITEADMIN02,Tools,Merchcenter
JAX-PRMO002,Tools,PromoAPI
JAX-TOOL004,Tools,Tools services
JAX-TOOL006,Tools,Tools services
JAX-TOOL008,Tools,Tools services
JAX-TOOL002,Tools,Tools services
JAX-TOOL003,Tools,Tools services
JAX-PRMO003,Tools,PromoAPI
JAX-TOOL005,Tools,Tools services
JAX-PRMO001,Tools,PromoAPI
JAX-TOOL001,Tools,Tools services
JAX-TOOL007,Tools,Tools services
IAD-DEV-IBMMQ001,OMS,IBM MQ
IAD-OMSAPP001,OMS,Sterling
IAD-OMSAPP002,OMS,Sterling
IAD-OMSAPP003,OMS,Sterling
IAD-OMSINT001,OMS,Sterling
IAD-OMSINT002,OMS,Sterling
IAD-OMSINT003,OMS,Sterling
IAD-OMSINT004,OMS,Sterling
IAD-OMSPERF001,OMS,Sterling
IAD-OMSWEB001,OMS,Sterling
IAD-OMSWEB002,OMS,Sterling
IAD-PROD-EAP001,OMS,Email API Service
