Name,Product,Product Monitoring,Reboot Order,Replicate to PHL
AIL-DC01,AimBridge,Non Revenue Systems/Non Revenue BackOffice/aimbridge/Major,32,Yes
AIL-DC02,AimBridge,Non Revenue Systems/Non Revenue BackOffice/aimbridge/Major,44,Yes
AIL-FILESERVER,Select,Revenue Systems/Revenue Production/Select/APP,23,Yes
aimbridge2,Select,Revenue Systems/Revenue Production/Select/APP,,Yes
AKORRIPROXY,,Revenue Systems/Revenue Production/Infrastructure/myappro.com,,
AKORRIPROXY2,,Revenue Systems/Revenue Production/Infrastructure/myappro.com,,
AMALGAMAPP01,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
AMALGAMAPP02,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
AMALGAMATEDSQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,Yes
AMARILLOAPP01,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
AMARILLOAPP01T,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
AMARILLOAPP02,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
AMARILLOSQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,Yes
AMARILLOSQLT,LoanCenter,Revenue Systems/Revenue Test/LCC/SQL,,
AMFIRSTAPP01,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
AMFIRSTAPP01T,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
AMFIRSTAPP02,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
AMFIRSTAPP03,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
AMFIRSTSQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,Yes
AMFIRSTSQLT,LoanCenter,Revenue Systems/Revenue Test/LCC/SQL,,
ANBTXAPPT,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
ANBTXDOC,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
ANBTXLCBAPP01,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
ANBTXSQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,Yes
ANBTXSQLT,LoanCenter,Revenue Systems/Revenue Test/LCC/SQL,,
AppDynamics,,,,
APPRORISK10,Action,Revenue Systems/Revenue Production/ACTion/App,40,Yes
APPRORISK11,Action,Revenue Systems/Revenue Production/ACTion/App,40,Yes
APPRORISK12,,,,Yes
APPRORISK4T,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
APPRORISK5T,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
APPRORISK6,Action,Revenue Systems/Revenue Production/ACTion/App,40,Yes
APPRORISK8,Action,Revenue Systems/Revenue Production/ACTion/App,40,Yes
APPRORISK9,Action,Revenue Systems/Revenue Production/ACTion/App,40,Yes
APPROWEBAPP1,LoanCenter,Revenue Systems/Revenue Production/LCC/WEB,,
ARSENALCUAPP01,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
ARSENALCUAPP02,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
ARSENALCUSQL,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,Yes
ASPAAG,,Revenue Systems/Revenue Production/Infrastructure/myappro.com,41,Yes
ASPAPPSQL,,Revenue Systems/Revenue Production/Infrastructure/myappro.com,,
asparchive1.MYAPPRO.COM,LoanCenter,Revenue Systems/Revenue Production/LCC/SQL,,
ASPARCHIVETEST,LoanCenter,Revenue Systems/Revenue Test/LCC/APP,,
ASPBIZXFER,Action,Revenue Systems/Revenue Production/ACTion/APP,,
ASPCUSTDOCS,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,
ASPDATACOLLECTOR,,,,
ASPDATAFARM,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
ASPDATAFARM2,LoanCenter,Revenue Systems/Revenue Production/LCC/APP,,Yes
ASPDEVFS,,Non Revenue Systems/Non Revenue Development/aspdev,,
ASPDIRECTOR,,Revenue Systems/Revenue Production/Infrastructure/myappro.com,,
