"Name","NumPorts","VDSwitch","Vlan"
"dvPG-vmMGMT001","128","dvSwitch-FTFQ_Trunk_iSCSI","2"
"dvPG-vmMGMT002","128","dvSwitch-FTFQ_Trunk_iSCSI","2"
"dvPG-vMotion001","128","dvSwitch-FTFQ_Trunk_iSCSI","2"
"dvPG-vMotion002","128","dvSwitch-FTFQ_Trunk_iSCSI","2"
"ftfq-vs01-iSCSI01","128","dvSwitch-FTFQ_Trunk_iSCSI","20"
"ftfq-vs01-iSCSI02","128","dvSwitch-FTFQ_Trunk_iSCSI","20"
"ftfq-vs02-iSCSI01","128","dvSwitch-FTFQ_Trunk_iSCSI","20"
"ftfq-vs02-iSCSI02","128","dvSwitch-FTFQ_Trunk_iSCSI","20"
"vlan20-iSCSI","128","dvSwitch-FTFQ_Trunk_iSCSI","20"
"vlan5-server","128","dvSwitch-FTFQ_Trunk_iSCSI","5"
