"Name","NumPorts","VDSwitch","Vlan"
"dev-iSCSI-vlan14","128","dvSwitch-DEVQC_CNA_Trunk","14"
"dev-vlan1012-dev-s02-dmz","128","dvSwitch-DEVQC_CNA_Trunk","1012"
"dev-vlan1128-dev-ewh-jxfw","128","dvSwitch-DEVQC_CNA_Trunk","1128"
"dev-vlan1132-qc-ewh-jxfw","128","dvSwitch-DEVQC_CNA_Trunk","1132"
"dev-vlan1150-qc-ewh-frow","128","dvSwitch-DEVQC_CNA_Trunk","1150"
"dev-vlan1160-dev-ewh-fakw","128","dvSwitch-DEVQC_CNA_Trunk","1160"
"dev-vlan1164-qc-ewh-fakw","128","dvSwitch-DEVQC_CNA_Trunk","1164"
"dev-vlan11-mgmt","128","dvSwitch-DEVQC_CNA_Trunk","11"
"dvPG-144.x-DEV","256","dvSwitch-DevQC-Stacks Trunk","144"
"dvPG-DEVQC-vmMGMT001","128","dvSwitch-DEVQC_CNA_Trunk","11"
"dvPG-DEVQC-vmMGMT002","128","dvSwitch-DEVQC_CNA_Trunk","11"
"dvPG-DEVQC-vMotion001","128","dvSwitch-DEVQC_CNA_Trunk","11"
"dvPG-DEVQC-vMotion002","128","dvSwitch-DEVQC_CNA_Trunk","11"
"dvPG-Heartbeat","128","dvSwitch-DevQC-Stacks Trunk","401"
"dvPG-iSCSI-CX4","128","dvSwitch-DevQC-Stacks Trunk","152"
"dvPG-JAXF-vmMGMT001","128","dvSwitch-JAXF_Trunk","11"
"dvPG-JAXF-vmMGMT002","128","dvSwitch-JAXF_Trunk","11"
"dvPG-JAXF-vMotion001","128","dvSwitch-JAXF_Trunk","11"
"dvPG-JAXF-vMotion002","128","dvSwitch-JAXF_Trunk","11"
"dvPG-Perf-FEDB","64","dvSwitch-DevQC-Stacks Trunk","150"
"dvPG-Perf-MW","64","dvSwitch-DevQC-Stacks Trunk","149"
"dvPG-Perf-WEBDMZ","64","dvSwitch-DevQC-Stacks Trunk","148"
"dvPG-Pernix","128","dvSwitch-JAX CNA Trunk",
"dvPG-QC-FEDB","64","dvSwitch-DevQC-Stacks Trunk","147"
"dvPG-QC-MW","64","dvSwitch-DevQC-Stacks Trunk","146"
"dvPG-QC-SRCH","128","dvSwitch-DevQC-Stacks Trunk","151"
"dvPG-QC-WEBDMZ","64","dvSwitch-DevQC-Stacks Trunk","145"
"dvPG-vcEXTERNAL","0","dvSwitch-DevQC-Stacks Trunk","666"
"dvPG-vlan122-webdmz","128","dvSwitch-JAX CNA Trunk","122"
"dvPG-vlan123-db","128","dvSwitch-JAX CNA Trunk","123"
"dvPG-vlan125-fedbase","128","dvSwitch-JAX CNA Trunk","125"
"dvPG-vlan126-mw","128","dvSwitch-JAX CNA Trunk","126"
"dvPG-vlan128-web2dmz","512","dvSwitch-JAX CNA Trunk","128"
"dvPG-vlan144-util","128","dvSwitch-JAX CNA Trunk","144"
"dvPG-vlan2-pnoc","128","dvSwitch-JAX CNA Trunk","2"
"dvPG-vlan3-bastion","128","dvSwitch-JAX CNA Trunk","3"
"dvPG-vlan400-CLSHeartbeat","128","dvSwitch-JAX CNA Trunk","400"
"dvPG-vmMGMT001","128","dvSwitch-DevQC-Stacks Trunk","144"
"dvPG-vmMGMT001","128","dvSwitch-JAX CNA Trunk","144"
"dvPG-vmMGMT002","128","dvSwitch-JAX CNA Trunk","144"
"dvPG-vmMGMT002","128","dvSwitch-DevQC-Stacks Trunk","144"
"dvPG-vMotion001","128","dvSwitch-DevQC-Stacks Trunk","144"
"dvPG-vMotion001","128","dvSwitch-JAX CNA Trunk","144"
"dvPG-vMotion002","128","dvSwitch-DevQC-Stacks Trunk","144"
"dvPG-vMotion002","128","dvSwitch-JAX CNA Trunk","144"
"iSCSI-vlan14","128","dvSwitch-JAXF_Trunk","14"
"jax-mwsrch","128","dvSwitch-JAX CNA Trunk","112"
"jax-s01-dbcls","128","dvSwitch-JAX CNA Trunk","16"
"jax-s01-mwdmz","128","dvSwitch-JAX CNA Trunk","12"
"jax-s01-mwsrch","128","dvSwitch-JAX CNA Trunk","14"
"jax-s01-webdmz","128","dvSwitch-JAX CNA Trunk","10"
"jax-s02-dbcls","128","dvSwitch-JAX CNA Trunk","26"
"jax-s02-mwdmz","128","dvSwitch-JAX CNA Trunk","22"
"jax-s02-mwsrch","128","dvSwitch-JAX CNA Trunk","24"
"jax-s02-webdmz","128","dvSwitch-JAX CNA Trunk","20"
"jax-s03-dbcls","128","dvSwitch-JAX CNA Trunk","36"
"jax-s03-mwdmz","128","dvSwitch-JAX CNA Trunk","32"
"jax-s03-mwsrch","128","dvSwitch-JAX CNA Trunk","34"
"jax-s03-webdmz","128","dvSwitch-JAX CNA Trunk","30"
"jax-s04-dbcls","128","dvSwitch-JAX CNA Trunk","46"
"jax-s04-mwdmz","128","dvSwitch-JAX CNA Trunk","42"
"jax-s04-mwsrch","128","dvSwitch-JAX CNA Trunk","44"
"jax-s04-webdmz","128","dvSwitch-JAX CNA Trunk","40"
"jax-s05-dbcls","128","dvSwitch-JAX CNA Trunk","56"
"jax-s05-mwdmz","128","dvSwitch-JAX CNA Trunk","52"
"jax-s05-mwsrch","128","dvSwitch-JAX CNA Trunk","54"
"jax-s05-webdmz","128","dvSwitch-JAX CNA Trunk","50"
"jax-s06-dbcls","128","dvSwitch-JAX CNA Trunk","66"
"jax-s06-mwdmz","128","dvSwitch-JAX CNA Trunk","62"
"jax-s06-mwsrch","128","dvSwitch-JAX CNA Trunk","64"
"jax-s06-webdmz","128","dvSwitch-JAX CNA Trunk","60"
"jax-webmch","512","dvSwitch-JAX CNA Trunk","96"
"vlan1016-dev-s01-app","128","dvSwitch-DEVQC_CNA_Trunk","1016"
