"Name","NumPorts","VDSwitch","Vlan"
"dvPG-vmMGMT001","128","dvSwitch-JXFD-Trunk","128"
"dvPG-vmMGMT002","128","dvSwitch-JXFD-Trunk","128"
"dvPG-vMotion001","128","dvSwitch-JXFD-Trunk","128"
"dvPG-vMotion002","128","dvSwitch-JXFD-Trunk","128"
"jxfd-vs01-iSCSI01","128","dvSwitch-JXFD_iSCSI","130"
"jxfd-vs01-iSCSI02","128","dvSwitch-JXFD_iSCSI","130"
"jxfd-vs02-iSCSI01","128","dvSwitch-JXFD_iSCSI","130"
"jxfd-vs02-iSCSI02","128","dvSwitch-JXFD_iSCSI","130"
"vlan129-servers","128","dvSwitch-JXFD-Trunk","129"
"vlan130-iSCSI","128","dvSwitch-JXFD_iSCSI","130"
