"Name","NumPorts","VDSwitch","Vlan"
"dvPG-vlan100-BWServer","128","dvSwitch-fs-devqc-trunk","100"
"dvPG-vlan175-NTP-DEV","16","dvSwitch-fs-devqc-trunk","175"
"dvPG-vlan176-NTP-QC","16","dvSwitch-fs-devqc-trunk","176"
"dvPG-vlan20-CWServer","128","dvSwitch-fs-devqc-trunk","20"
"dvPG-vmMGMT001","128","dvSwitch-WH CNA Trunk","101"
"dvPG-vmMGMT001","128","dvSwitch-fs-devqc-trunk","101"
"dvPG-vmMGMT002","128","dvSwitch-WH CNA Trunk","101"
"dvPG-vmMGMT002","128","dvSwitch-fs-devqc-trunk","101"
"dvPG-vMotion001","128","dvSwitch-fs-devqc-trunk","101"
"dvPG-vMotion001","128","dvSwitch-WH CNA Trunk","101"
"dvPG-vMotion002","128","dvSwitch-WH CNA Trunk","101"
"dvPG-vMotion002","128","dvSwitch-fs-devqc-trunk","101"
"vlan100-BW Server","128","dvSwitch-WH CNA Trunk","100"
"vlan101-mgmt","128","dvSwitch-WH CNA Trunk","101"
"vlan14-prodadmin","128","dvSwitch-WH CNA Trunk","14"
"vlan150-dmz","128","dvSwitch-WH CNA Trunk","150"
"vlan20-CW server","128","dvSwitch-WH CNA Trunk","20"
"vlan2-servers","128","dvSwitch-WH CNA Trunk","2"
"vlan400-SQLHeartbeat","128","dvSwitch-WH CNA Trunk","400"
"vlan5_CW_Office","128","dvSwitch-WH CNA Trunk","5"
"vlan664-vendor","128","dvSwitch-WH CNA Trunk","664"
"vlan666_Guest","128","dvSwitch-WH CNA Trunk","666"
"vlan7_IT_Infra","128","dvSwitch-WH CNA Trunk","7"
