"Name","NumPorts","VDSwitch","Vlan"
"dvPG-Pernix","128","dvSwitch-ORD-CNA-Trunk",
"dvPG-vmMGMT001","128","dvSwitch-ORD-CNA-Trunk",
"dvPG-vmMGMT002","128","dvSwitch-ORD-CNA-Trunk",
"dvPG-vMotion001","128","dvSwitch-ORD-CNA-Trunk",
"dvPG-vMotion002","128","dvSwitch-ORD-CNA-Trunk",
"ord-bastion","256","dvSwitch-ORD-CNA-Trunk","2"
"ord-fedb","128","dvSwitch-ORD-CNA-Trunk","7"
"ord-fin","256","dvSwitch-ORD-CNA-Trunk","5"
"ord-heartbeat","128","dvSwitch-ORD-CNA-Trunk","550"
"ord-mgmt","256","dvSwitch-ORD-CNA-Trunk",
"ord-mw","256","dvSwitch-ORD-CNA-Trunk","4"
"ord-mwsrch","128","dvSwitch-ORD-CNA-Trunk","112"
"ord-pnoc","256","dvSwitch-ORD-CNA-Trunk","6"
"ord-reporting","256","dvSwitch-ORD-CNA-Trunk","3"
"ord-s01-dbcls","64","dvSwitch-ORD-CNA-Trunk","16"
"ord-s01-mwdmz","64","dvSwitch-ORD-CNA-Trunk","12"
"ord-s01-mwsrch","64","dvSwitch-ORD-CNA-Trunk","14"
"ord-s01-webdmz","64","dvSwitch-ORD-CNA-Trunk","10"
"ord-s02-dbcls","64","dvSwitch-ORD-CNA-Trunk","26"
"ord-s02-mwdmz","64","dvSwitch-ORD-CNA-Trunk","22"
"ord-s02-mwsrch","64","dvSwitch-ORD-CNA-Trunk","24"
"ord-s02-webdmz","64","dvSwitch-ORD-CNA-Trunk","20"
"ord-s03-dbcls","128","dvSwitch-ORD-CNA-Trunk","36"
"ord-s03-mwdmz","128","dvSwitch-ORD-CNA-Trunk","32"
"ord-s03-mwsrch","128","dvSwitch-ORD-CNA-Trunk","34"
"ord-s03-webdmz","128","dvSwitch-ORD-CNA-Trunk","30"
"ord-s04-dbcls","128","dvSwitch-ORD-CNA-Trunk","46"
"ord-s04-mwdmz","128","dvSwitch-ORD-CNA-Trunk","42"
"ord-s04-mwsrch","128","dvSwitch-ORD-CNA-Trunk","44"
"ord-s04-webdmz","128","dvSwitch-ORD-CNA-Trunk","40"
"ord-s05-dbcls","128","dvSwitch-ORD-CNA-Trunk","56"
"ord-s05-mwdmz","128","dvSwitch-ORD-CNA-Trunk","52"
"ord-s05-mwsrch","128","dvSwitch-ORD-CNA-Trunk","54"
"ord-s05-webdmz","128","dvSwitch-ORD-CNA-Trunk","50"
"ord-webmch","512","dvSwitch-ORD-CNA-Trunk","96"
