"Name","NumPorts","VDSwitch","Vlan"
"dvPG-vmMGMT001","128","dvSwitch-SUFW-Trunk","2"
"dvPG-vmMGMT002","128","dvSwitch-SUFW-Trunk","2"
"dvPG-vMotion001","128","dvSwitch-SUFW-Trunk","2"
"dvPG-vMotion002","128","dvSwitch-SUFW-Trunk","2"
"sufw-vs01-iSCSI01","128","dvSwitch-SUFW_iSCSI",
"sufw-vs01-iSCSI02","128","dvSwitch-SUFW_iSCSI",
"sufw-vs02-iSCSI01","128","dvSwitch-SUFW_iSCSI",
"sufw-vs02-iSCSI02","128","dvSwitch-SUFW_iSCSI",
"sufw-vs03-iSCSI01","128","dvSwitch-SUFW_iSCSI",
"sufw-vs03-iSCSI02","128","dvSwitch-SUFW_iSCSI",
"vlan13-erp-app","28","dvSwitch-SUFW-Trunk","13"
"vlan14-erp-db","28","dvSwitch-SUFW-Trunk","14"
"vlan15-devstg","128","dvSwitch-SUFW-Trunk","15"
"vlan2-management","128","dvSwitch-SUFW-Trunk","2"
"vlan3-servers","128","dvSwitch-SUFW-Trunk","3"
"vlan4-iSCSI","128","dvSwitch-SUFW_iSCSI",
"vlanX-sandbox","128","dvSwitch-SUFW-Trunk","501"
