"VMHost","DVSwitch","DeviceName","MAC"
"copq-vs01.fanatics.corp","dvSwitch-COPQ_iSCSI","vmnic7","00:1b:21:5e:fe:55"
"copq-vs01.fanatics.corp","dvSwitch-COPQ_Trunk","vmnic0","78:2b:cb:13:db:70"
"copq-vs01.fanatics.corp","dvSwitch-COPQ_iSCSI","vmnic1","78:2b:cb:13:db:72"
"copq-vs01.fanatics.corp","dvSwitch-COPQ_Trunk","vmnic6","00:1b:21:5e:fe:54"
"copq-vs02.fanatics.corp","dvSwitch-COPQ_iSCSI","vmnic1","78:2b:cb:14:0e:13"
"copq-vs02.fanatics.corp","dvSwitch-COPQ_Trunk","vmnic6","00:1b:21:64:b9:b4"
"copq-vs02.fanatics.corp","dvSwitch-COPQ_iSCSI","vmnic7","00:1b:21:64:b9:b5"
"copq-vs02.fanatics.corp","dvSwitch-COPQ_Trunk","vmnic0","78:2b:cb:14:0e:11"
"devqc-vs02.ff.p10","dvSwitch-DEVQC_CNA_Trunk","vmnic7","00:0e:1e:36:87:34"
"devqc-vs02.ff.p10","dvSwitch-DEVQC_CNA_Trunk","vmnic6","00:0e:1e:36:87:30"
"devqc-vs02.ff.p10","dvSwitch-DevQC-Stacks Trunk","vmnic0","84:2b:2b:6f:6a:a1"
"devqc-vs02.ff.p10","dvSwitch-DevQC-Stacks Trunk","vmnic1","84:2b:2b:6f:6a:a3"
"devqc-vs03.ff.p10","dvSwitch-DEVQC_CNA_Trunk","vmnic6","00:0e:1e:0c:db:38"
"devqc-vs03.ff.p10","dvSwitch-DEVQC_CNA_Trunk","vmnic7","00:0e:1e:0c:db:3c"
"devqc-vs03.ff.p10","dvSwitch-DevQC-Stacks Trunk","vmnic1","84:2b:2b:6f:6d:38"
"devqc-vs03.ff.p10","dvSwitch-DevQC-Stacks Trunk","vmnic0","84:2b:2b:6f:6d:36"
"devqc-vs04.ff.p10","dvSwitch-DevQC-Stacks Trunk","vmnic0","84:2b:2b:51:05:3a"
"devqc-vs04.ff.p10","dvSwitch-DEVQC_CNA_Trunk","vmnic9","00:0e:1e:06:e8:ac"
"devqc-vs04.ff.p10","dvSwitch-DevQC-Stacks Trunk","vmnic1","84:2b:2b:51:05:3c"
"devqc-vs04.ff.p10","dvSwitch-DEVQC_CNA_Trunk","vmnic8","00:0e:1e:06:e8:a8"
"devqc-vs05.ff.p10","dvSwitch-DevQC-Stacks Trunk","vmnic1","84:2b:2b:4a:94:d6"
"devqc-vs05.ff.p10","dvSwitch-DEVQC_CNA_Trunk","vmnic4","00:0e:1e:0c:de:10"
"devqc-vs05.ff.p10","dvSwitch-DevQC-Stacks Trunk","vmnic0","84:2b:2b:4a:94:d4"
"devqc-vs05.ff.p10","dvSwitch-DEVQC_CNA_Trunk","vmnic5","00:0e:1e:0c:de:14"
"devqc-vs06.ff.p10","dvSwitch-DEVQC_CNA_Trunk","vmnic7","00:0e:1e:32:1f:14"
