Cluster,Domain,Gateway,DNS1,DNS2
CHNQ,fanatics.corp,10.143.192.1,10.143.193.21,10.143.193.22
COPQ,fanatics.corp,10.143.32.1,10.143.32.19,10.143.32.22
DFIQ,fanatics.corp,10.143.72.1,10.143.72.221,10.143.72.222
DFW-PROD,fanatics.corp,10.139.3.1,10.139.3.21,10.139.3.22
FAKW,fanatics.corp,10.143.40.1,10.143.40.21,10.143.40.40
FROW,fanatics.corp,10.143.50.1,10.143.50.21,10.143.50.22
IAD-PROD,fanatics.corp,10.138.3.1,10.138.3.21,10.138.3.22
IAD-Majestic-DEVQC,fanatics.corp,10.138.3.1,10.138.3.21,10.138.3.22
IAD-DEVQC,fanatics.corp,10.138.3.1,10.138.3.21,10.138.3.22
DEVQC,ff.p10,10.143.106.1,192.168.144.159,192.168.125.140
JAXF-Prod,fanatics.corp,10.143.101.1,10.143.101.21,10.143.101.22
JAXF-Voice,fanatics.corp,10.143.106.1,10.143.101.21,10.143.101.22
Jax-Prod-Datacenter,ff.p10,192.168.144.11,192.168.125.140,192.168.125.141
JXFD,fanatics.corp,10.143.128.1,10.143.129.21,10.143.129.22
JXFQ,fanatics.corp,10.143.208.1,10.143.209.21,10.143.209.22
JXFW,fanatics.corp,10.143.1.1,10.143.0.21,10.143.0.22
LVNW,fanatics.corp,10.142.55.1,10.142.55.21,10.142.55.22
MRFW,fanatics.corp,10.142.81.1,10.142.81.21,10.142.81.22
NYNS,fanatics.corp,10.143.200.129,10.143.201.21,10.143.201.22
SMCQ-Prod,fanatics.corp,10.142.8.1,10.142.8.21,10.142.8.22
SMCQ-Voice,fanatics.corp,10.142.8.1,10.142.8.21,10.142.8.22
TAFQ,fanatics.corp,10.142.98.1,10.142.98.21,10.142.98.22
